Регион,Ведомство,Сайт,Название Управления,ФИО руководителя пресс-службы (ФСКН) / Отдела информации и общественных связей (МВД),Основной email,Дополнительный email,ФИО начальника Управления,Комментарий
Москва,МВД,https://77.mvd.ru/SMI/press_slujba,ГУ МВД по г. Москве,Галиакберов Андрей Анатольевич,mvd77@mvd.gov.ru,,Якунин Анатолий Иванович,
Московская область,МВД,https://50.mvd.ru/press/Press_sluzhba,ГУ МВД России по Московской области,Петрова Татьяна Ивановна,mvd50@mvd.gov.ru,,Пауков Виктор Кузьмич,
Белгородская область,МВД,https://31.mvd.ru/press/press,УМВД России по Белгородской области,?,mvd31@mvd.gov.ru,,Пестерев Виктор Николаевич,
Брянская область,МВД,https://32.mvd.ru/press/Kontakti,УМВД России по Брянской области,Королёв Сергей Владимирович,mvd32@mvd.gov.ru,,Кузьмин Валентин Юрьевич,
Владимирская область,МВД,https://33.mvd.ru/Press_sluzhba/Press_sluzhba,УМВД России по Владимирской области,Басова Анна Леонидовна,mvd33@mvd.gov.ru,,Лосев Олег Николаевич,
Воронежская область,МВД,https://36.mvd.ru/press/Kontakti_press,ГУ МВД России по Воронежской области,Куликова Наталья Сергеевна ,mvd36@mvd.gov.ru,,Сысоев Александр Николаевич,
Ивановская область,МВД,https://37.mvd.ru/press/uumspisok,УМВД России по Ивановской области,Радостин Владислав Вячеславович,mvd37@mvd.gov.ru,,Лузин Андрей Викторович,
Калужская область,МВД,https://40.mvd.ru/vsmi/Dannie_press_sluzhbi,УМВД России по Калужской области,Зимина Ирина Валерьевна,mvd40@mvd.gov.ru,,Бачурин Сергей Викторович,
Костромская область,МВД,https://44.mvd.ru/Press_sluzhba/Otdel_informacii_i_obshhestvennih_svjaze,УМВД России по Костромской области,Дугарев Александр Вячеславович,44mvd@mvd.gov.ru,,Казьмин Вадим Викторович,Ошибочный адрес
Курская область,МВД,https://46.mvd.ru/press/Press_sluzhba,УМВД России по Курской области,Каменева Лилия Борисовна,mvd46@mvd.gov.ru,,Кулик Григорий Павлович,
Липецкая область,МВД,https://48.mvd.ru/press/Kontakti/485,УМВД России по Липецкой области,Маслакова Наталья Николаевна,mvd48@mvd.gov.ru,uvd_lipetsk@mail.ru,Молоканов Михаил Владимирович,
Орловская область,МВД,https://57.mvd.ru/Press_sluzhba/Kontakti,УМВД России по Орловской области,Тхаржевская Карина Петровна,mvd57@mvd.gov.ru,,Савенков Юрий Николаевич,
Рязанская область,МВД,https://62.mvd.ru/press_slujba/Kontakti_press_sluzhbi_UMVD,УМВД России по Рязанской области,Родина Лидия Викторовна,mvd62@mvd.gov.ru,,Пилюгин Николай Николаевич,
Смоленская область,МВД,https://67.mvd.ru/Press_sluzhba/press,УМВД России по Смоленской области,Гуреева Наталья Николаевна,mvd67@mvd.gov.ru,,Скоков Михаил Иванович,
Тамбовская область,МВД,https://68.mvd.ru/press/Kontakti,УМВД России по Тамбовской области,Жданов Алексей Валентинович,mvd68@mvd.gov.ru,,Кулик Юрий Павлович,
Тверская область,МВД,https://69.mvd.ru/press/Kontakti,УМВД России по Тверской области,Левшин Вадим Александрович,mvd69@mvd.gov.ru,uvd-tverskaya@mail.ru,Андреев Владимир Леонидович,
Тульская область,МВД,https://71.mvd.ru/press/contact,УМВД России по Тульской области,Ярцев Андрей Викторович,mvd71@mvd.gov.ru,,Галкин Сергей Александрович,
Ярославская область,МВД,https://76.mvd.ru/press/Press_sluzhba_sotrudniki,УМВД России по Ярославской области,Кокуева Марина Ивановна,mvd76@mvd.gov.ru,mvd76@list.ru,Трифонов Николай Иванович,
Амурская область,МВД,https://28.mvd.ru/press/Kontakti,УМВД России по Амурской области,Карташова Инна Владимировна,mvd28@mvd.gov.ru,,Аксёнов Николай Николаевич,
Еврейская АО,МВД,https://79.mvd.ru/press/Sotrudniki,УМВД России по Еврейской автономной области,Ткачева Оксана Викторовна,mvd79@mvd.gov.ru,,Чаплыгин Александр Михайлович,
Камчатский край,МВД,https://41.mvd.ru/Press_sluzhba/Sotrudniki,УМВД России по Камчатскому краю,Иванова Алевтина Анатольевна,mvd41@mvd.gov.ru,,Сидоренко Александр Иванович,
Магаданская область,МВД,https://49.mvd.ru/press,УМВД России по Магаданской области,Суворова Марина Васильевна,mvd49@mvd.gov.ru,,Винников Александр Иванович,
Приморский край,МВД,https://25.mvd.ru/press_slujba,УМВД России по Приморскому краю,Сырова Ирина Владимировна,mvd25@mvd.gov.ru,,Афанасьев Николай Николаевич,
Сахалинская область,МВД,https://65.mvd.ru/Press_sluzhba/Kontakti,УМВД России по Сахалинской области,Зайцева Ирина Генадьевна,mvd65@mvd.gov.ru,,Долгий Олег Викторович,
Хабаровский край,МВД,https://27.mvd.ru/press/Kontakti,УМВД России по Хабаровскому краю,Блинов Кирилл Юрьевич,mvd27@mvd.gov.ru,,Черников Михаил Юрьевич,
Чукотский АО,МВД,https://87.mvd.ru/press/Kontakti,УМВД России по Чукотскому автономному округу,Хурамшина Анастасия Константиновна,mvd87@mvd.gov.ru,,Кандан Аяс Арзыланович,
Республика Саха,МВД,https://14.mvd.ru/press/KONTAKTI,МВД по Республике Саха (Якутия),Миронова Мария Васильевна,mvd14@mvd.gov.ru,mvdsakha@yandex.ru,Прокопенко Владимир Николаевич,
Республика Башкортостан,МВД,https://02.mvd.ru/Press_sluzhba/Kontaktu,МВД по Республике Башкортостан,?,mvd02@mvd.gov.ru,,Закомалдин Михаил Иванович,
Нижегородская область,МВД,https://52.mvd.ru/press/kontakti,ГУ МВД России по Нижегородской области,Кравчук Ольга Николаевна,mvd52@mvd.gov.ru,,Шаев Иван Михайлович,
Кировская область,МВД,https://43.mvd.ru/press/Kontakti,УМВД России по Кировской области,Баранцев Сергей Павлович,mvd43@mvd.gov.ru,,Селянин Константин Никандрович,
Республика Марий Эл,МВД,https://12.mvd.ru/Press_sluzhba/Kontakti,МВД по Республике Марий Эл,Плотникова Ольга Михайловна,mvd-12@mvd.gov.ru,,Косарёв Виктор Анатольевич,
Республика Мордовия,МВД,https://13.mvd.ru/Press_centr/Kontakti,МВД по Республике Мордовия,Потапов Игорь Александрович,mvd13@mvd.gov.ru,,Арсентьев Юрий Васильевич,
Оренбургская область,МВД,https://56.mvd.ru/press/kontakti,УМВД России по Оренбургской области,Овсянников Алексей Николаевич,mvd56@mvd.gov.ru,,Давыдов Михаил Ильич,
Пензенская область,МВД,https://58.mvd.ru/Press_sluzhba/Kontakti,УМВД России по Пензенской области,Евдокимова Ольга Викторовна,mvd58@mvd.gov.ru,,Рузляев Юрий Николаевич,
Пермский край,МВД,https://59.mvd.ru/press/Kontakti,ГУ МВД России по Пермскому краю,Гайнанов Артур Мирсаетович,mvd59@mvd.gov.ru,,Кошелев Виктор Васильевич,
